playerID,yearID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,ASNextYear
maxvida01,1973,74,217.0,19.0,41.0,4.0,3.0,0.0,17.0,0.0,22.0,40.0,2.0,0.0
maybejo01,1973,152,510.0,87.0,142.0,20.0,2.0,26.0,100.0,3.0,122.0,79.0,17.0,0.0
mayca01,1973,149,553.0,62.0,148.0,20.0,0.0,20.0,96.0,8.0,53.0,73.0,5.0,0.0
mayda01,1973,156,624.0,96.0,189.0,23.0,4.0,25.0,93.0,6.0,44.0,78.0,6.0,0.0
mayle01,1973,148,545.0,65.0,147.0,24.0,3.0,28.0,105.0,1.0,34.0,122.0,10.0,0.0
maymi01,1973,101,283.0,29.0,76.0,8.0,1.0,7.0,31.0,0.0,34.0,26.0,12.0,0.0
mayswi01,1973,66,209.0,24.0,44.0,10.0,0.0,6.0,25.0,1.0,27.0,47.0,0.0,0.0
mcauldi01,1973,106,343.0,39.0,94.0,18.0,1.0,12.0,47.0,0.0,49.0,52.0,5.0,0.0
mccarti01,1973,130,331.0,30.0,88.0,16.0,4.0,3.0,49.0,2.0,38.0,31.0,6.0,0.0
mccovwi01,1973,130,383.0,52.0,102.0,14.0,3.0,29.0,75.0,1.0,105.0,78.0,25.0,0.0
mccrato01,1973,99,264.0,25.0,70.0,7.0,0.0,3.0,24.0,3.0,30.0,42.0,1.0,0.0
mcraeha01,1973,106,338.0,36.0,79.0,18.0,3.0,9.0,50.0,2.0,34.0,38.0,2.0,0.0
melenlu01,1973,121,341.0,35.0,91.0,18.0,1.0,2.0,35.0,2.0,27.0,50.0,2.0,0.0
meltobi01,1973,152,560.0,83.0,155.0,29.0,1.0,20.0,87.0,4.0,75.0,66.0,7.0,0.0
menkede01,1973,139,241.0,38.0,46.0,10.0,0.0,3.0,26.0,1.0,69.0,53.0,6.0,0.0
meoliru01,1973,120,305.0,36.0,68.0,12.0,1.0,2.0,23.0,2.0,31.0,38.0,1.0,0.0
metzgro01,1973,154,580.0,67.0,145.0,11.0,14.0,1.0,35.0,10.0,39.0,70.0,0.0,0.0
michage01,1973,129,418.0,30.0,94.0,11.0,1.0,3.0,47.0,1.0,26.0,51.0,0.0,0.0
millafe01,1973,153,638.0,82.0,185.0,23.0,4.0,3.0,37.0,2.0,35.0,22.0,3.0,0.0
milleri01,1973,143,441.0,65.0,115.0,17.0,7.0,6.0,43.0,12.0,51.0,59.0,2.0,0.0
milnejo01,1973,129,451.0,69.0,108.0,12.0,3.0,23.0,72.0,1.0,62.0,84.0,6.0,0.0
mittege01,1973,125,432.0,50.0,112.0,15.0,0.0,16.0,64.0,3.0,39.0,111.0,0.0,0.0
mondari01,1973,149,554.0,93.0,148.0,24.0,5.0,26.0,56.0,5.0,92.0,124.0,7.0,0.0
moneydo01,1973,145,556.0,75.0,158.0,28.0,2.0,11.0,61.0,22.0,53.0,53.0,3.0,0.0
montawi01,1973,146,552.0,69.0,145.0,16.0,5.0,11.0,65.0,2.0,46.0,80.0,7.0,0.0
moralje01,1973,122,388.0,47.0,109.0,23.0,2.0,9.0,34.0,6.0,27.0,55.0,3.0,0.0
moralri01,1973,90,244.0,9.0,40.0,6.0,1.0,0.0,16.0,0.0,27.0,36.0,6.0,0.0
morgajo02,1973,157,576.0,116.0,167.0,35.0,2.0,26.0,82.0,67.0,111.0,61.0,3.0,1.0
motama01,1973,89,293.0,33.0,92.0,11.0,2.0,0.0,23.0,1.0,25.0,12.0,9.0,0.0
munsoth01,1973,147,519.0,80.0,156.0,29.0,4.0,20.0,74.0,4.0,48.0,64.0,4.0,1.0
murcebo01,1973,160,616.0,83.0,187.0,29.0,2.0,22.0,95.0,6.0,50.0,67.0,6.0,1.0
murreiv01,1973,93,210.0,23.0,48.0,13.0,1.0,9.0,21.0,2.0,2.0,52.0,0.0,0.0
muserto01,1973,109,309.0,38.0,88.0,14.0,3.0,4.0,30.0,8.0,33.0,36.0,0.0,0.0
nelsoda01,1973,142,576.0,71.0,165.0,24.0,4.0,7.0,48.0,43.0,34.0,78.0,3.0,0.0
nettlgr01,1973,160,552.0,65.0,129.0,18.0,0.0,22.0,81.0,0.0,78.0,76.0,3.0,0.0
northbi01,1973,146,554.0,98.0,158.0,10.0,5.0,5.0,34.0,53.0,78.0,89.0,5.0,0.0
northji01,1973,119,404.0,55.0,124.0,14.0,7.0,12.0,44.0,4.0,38.0,41.0,6.0,0.0
oatesjo01,1973,93,322.0,27.0,80.0,6.0,0.0,4.0,27.0,1.0,22.0,31.0,4.0,0.0
olivato01,1973,146,571.0,63.0,166.0,20.0,0.0,16.0,92.0,2.0,45.0,44.0,14.0,0.0
oliveal01,1973,158,654.0,90.0,191.0,38.0,7.0,20.0,99.0,6.0,22.0,52.0,1.0,0.0
olivebo01,1973,151,544.0,51.0,144.0,24.0,1.0,18.0,89.0,1.0,33.0,100.0,7.0,0.0
ortajo01,1973,128,425.0,46.0,113.0,9.0,10.0,6.0,40.0,8.0,37.0,87.0,3.0,0.0
otisam01,1973,148,583.0,89.0,175.0,21.0,4.0,26.0,93.0,13.0,63.0,47.0,5.0,0.0
patekfr01,1973,135,501.0,82.0,117.0,19.0,5.0,5.0,45.0,36.0,54.0,63.0,0.0,0.0
